Rank,Team,Part,Pld,W,D,L,GF,GA,GD,Pts
1, Brazil,22,109,73,18,18,229,105,124,237
2, Germany,20,110,67,20,23,227,127,100,221
3, Italy,18,83,45,21,17,128,77,51,156
4, Argentina,18,82,43,15,24,138,95,43,144
5, France,16,67,35,13,19,124,78,46,118
6, England,16,70,30,21,19,97,66,31,111
7, Spain,16,63,30,15,18,99,72,27,105
8, Netherlands,11,51,28,12,11,88,48,40,96
9, Uruguay,14,56,24,12,20,87,74,13,84
10, Sweden,12,51,19,13,19,80,73,7,70
11, Belgium,14,48,20,9,19,68,72,?4,69
12, Russia,11,45,19,10,16,77,54,23,67
13, Mexico,17,58,16,15,27,60,98,?38,63
14, Serbia[i],13,46,18,8,20,66,63,3,62
15, Poland,9,35,16,6,13,46,45,1,54
16, Hungary,9,32,15,3,14,87,57,30,48
17, Portugal,8,30,14,6,10,49,35,14,48
18, Switzerland,12,37,12,8,17,50,64,?14,44
19, Czech Republic,9,33,12,5,16,47,49,?2,41
20, Austria,7,29,12,4,13,43,47,?4,40
21, Chile,9,33,11,7,15,40,49,?9,40
22, Croatia,6,24,11,5,8,35,26,9,38
23, Denmark,6,21,9,6,6,30,26,4,33
24, Paraguay,8,27,7,10,10,30,38,?8,31
25, United States,11,34,8,7,19,38,63,?25,31
26, Colombia,6,22,9,3,10,32,30,2,30
27, Romania,7,21,8,5,8,30,32,?2,29
28, South Korea,11,34,6,9,19,34,70,?36,27
29, Japan,7,22,6,5,11,22,30,?8,23
30, Nigeria,6,21,6,3,12,23,30,?7,21
31, Costa Rica,6,18,5,5,8,19,28,?9,20
32, Scotland,8,23,4,7,12,25,41,?16,19
33, Cameroon,8,23,4,7,12,18,43,?25,19
34, Peru,5,18,5,3,10,21,33,?12,18
35, Bulgaria,7,26,3,8,15,22,53,?31,17
36, Turkey,2,10,5,1,4,20,17,3,16
37, Ecuador,4,11,5,1,5,12,11,1,16
38, Ghana,4,12,4,3,5,13,16,?3,15
39, Republic of Ireland,3,13,2,8,3,10,10,0,14
40, Northern Ireland,3,13,3,5,5,13,23,?10,14
41, Saudi Arabia,6,17,4,2,11,13,40,?27,14
42, Senegal,3,9,3,3,3,11,12,?1,12
43, Algeria,4,13,3,3,7,13,19,?6,12
44, Morocco,6,17,2,6,9,14,22,?8,12
45, Tunisia,6,16,2,5,9,13,25,?12,11
46, Ivory Coast,3,9,3,1,5,13,14,?1,10
47, South Africa,3,9,2,4,3,11,16,?5,10
48, Iran,6,16,2,4,10,11,30,?19,10
49, Australia,6,17,2,4,11,14,35,?21,10
50, Norway,3,8,2,3,3,7,8,?1,9
51, Greece,3,10,2,2,6,5,20,?15,8
52, Wales,2,6,1,4,1,5,5,0,7
53, Ukraine,1,5,2,1,2,5,7,?2,7
54, Slovakia,1,4,1,1,2,5,7,?2,4
55, Slovenia,2,6,1,1,4,5,10,?5,4
56, Cuba,1,3,1,1,1,5,12,?7,4
57, North Korea,2,7,1,1,5,6,21,?15,4
58, Bosnia and Herzegovina,1,3,1,0,2,4,4,0,3
59, Jamaica,1,3,1,0,2,3,9,?6,3
60, New Zealand,2,6,0,3,3,4,14,?10,3
61, Honduras,3,9,0,3,6,3,14,?11,3
62, Angola,1,3,0,2,1,1,2,?1,2
63, Israel,1,3,0,2,1,1,3,?2,2
64, Egypt,3,7,0,2,5,5,12,?7,2
65, Iceland,1,3,0,1,2,2,5,?3,1
66, Kuwait,1,3,0,1,2,2,6,?4,1
67, Trinidad and Tobago,1,3,0,1,2,0,4,?4,1
68, Bolivia,3,6,0,1,5,1,20,?19,1
69, Qatar,1,1,0,0,1,0,2,?2,0
70, Iraq,1,3,0,0,3,1,4,?3,0
71, Togo,1,3,0,0,3,1,6,?5,0
72, Canada,2,3,0,0,3,0,5,?5,0
73, Indonesia,1,1,0,0,1,0,6,?6,0
74, Panama,1,3,0,0,3,2,11,?9,0
75, United Arab Emirates,1,3,0,0,3,2,11,?9,0
76, China,1,3,0,0,3,0,9,?9,0
77, Haiti,1,3,0,0,3,2,14,?12,0
78, DR Congo,1,3,0,0,3,0,14,?14,0
79, El Salvador,2,6,0,0,6,1,22,?21,0
